,2,5,10,25,50,100
51,63.0,75.0,85.0,97.0,107.0,117.0
51,72.0,89.0,104.0,127.0,148.0,172.0
51,74.0,97.0,116.0,144.0,168.0,195.0
51,58.0,72.0,84.0,102.0,117.0,134.0
51,81.0,104.0,123.0,151.0,174.0,198.0
51,75.0,96.0,113.0,140.0,163.0,188.0
51,76.0,99.0,118.0,146.0,171.0,198.0
51,71.0,92.0,110.0,136.0,159.0,184.0
51,67.0,84.0,98.0,119.0,135.0,152.0
51,48.0,61.0,72.0,84.0,93.0,103.0
51,85.0,109.0,130.0,159.0,183.0,210.0
51,62.0,79.0,94.0,111.0,123.0,135.0
51,66.0,81.0,93.0,110.0,124.0,139.0
51,59.0,70.0,80.0,92.0,101.0,111.0
51,82.0,106.0,125.0,154.0,178.0,204.0
51,63.0,77.0,88.0,104.0,118.0,132.0
51,80.0,104.0,125.0,155.0,182.0,211.0
51,75.0,93.0,108.0,131.0,150.0,172.0
51,80.0,103.0,122.0,149.0,171.0,195.0
51,77.0,100.0,120.0,149.0,174.0,202.0
51,60.0,73.0,83.0,98.0,110.0,121.0
51,60.0,72.0,81.0,94.0,105.0,115.0
51,50.0,64.0,76.0,91.0,101.0,111.0
51,54.0,66.0,77.0,93.0,107.0,123.0
51,52.0,67.0,80.0,94.0,104.0,114.0
51,61.0,75.0,87.0,104.0,118.0,133.0
51,60.0,73.0,83.0,97.0,109.0,121.0
51,72.0,95.0,113.0,134.0,150.0,166.0
51,68.0,84.0,98.0,120.0,139.0,162.0
51,62.0,75.0,86.0,100.0,112.0,124.0
51,58.0,71.0,81.0,96.0,108.0,120.0
51,85.0,110.0,131.0,161.0,186.0,213.0
51,79.0,98.0,114.0,138.0,158.0,180.0
51,58.0,71.0,81.0,95.0,107.0,119.0
51,71.0,89.0,104.0,126.0,144.0,164.0
51,65.0,80.0,93.0,112.0,127.0,143.0
51,56.0,68.0,78.0,92.0,103.0,115.0
51,60.0,72.0,81.0,93.0,103.0,112.0
51,65.0,80.0,93.0,113.0,130.0,150.0
51,63.0,76.0,86.0,101.0,112.0,125.0
51,72.0,90.0,106.0,128.0,146.0,166.0
51,62.0,74.0,85.0,99.0,111.0,123.0
51,73.0,94.0,110.0,130.0,144.0,158.0
51,58.0,71.0,81.0,96.0,108.0,120.0
51,74.0,96.0,115.0,143.0,167.0,194.0
51,61.0,74.0,84.0,99.0,110.0,122.0
51,80.0,104.0,124.0,155.0,181.0,210.0
51,83.0,106.0,126.0,155.0,180.0,207.0
51,68.0,85.0,98.0,118.0,134.0,152.0
51,61.0,74.0,85.0,99.0,111.0,122.0
51,63.0,77.0,89.0,105.0,118.0,133.0
51,61.0,73.0,84.0,98.0,109.0,121.0
51,82.0,106.0,127.0,158.0,184.0,214.0
51,60.0,74.0,85.0,102.0,117.0,133.0
51,62.0,74.0,85.0,99.0,110.0,122.0
51,58.0,72.0,83.0,98.0,110.0,122.0
51,48.0,61.0,71.0,82.0,91.0,98.0
51,69.0,89.0,105.0,130.0,152.0,176.0
51,83.0,107.0,127.0,156.0,182.0,209.0
