,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
313,Wicomico,County,MD,1.28,1.31,1.3,1.3,1.37,1.4
314,Williamsburg,City,VA,1.24,1.22,1.26,1.33,1.38,1.54
315,Winchester,City,VA,1.34,1.35,1.39,1.4,1.43,1.51
316,Wirt,County,WV,1.34,1.38,1.4,1.4,1.41,1.45
317,Wise,County,VA,1.27,1.31,1.34,1.38,1.41,1.43
318,Wood,County,WV,1.31,1.33,1.35,1.36,1.39,1.44
319,Worcester,County,MD,1.29,1.33,1.37,1.44,1.49,1.53
320,Wyoming,County,PA,1.27,1.29,1.32,1.36,1.43,1.53
321,Wyoming,County,WV,1.31,1.33,1.34,1.32,1.33,1.37
322,Wythe,County,VA,1.27,1.3,1.3,1.3,1.31,1.35
323,Yates,County,NY,1.29,1.33,1.35,1.39,1.44,1.48
324,York,County,PA,1.27,1.31,1.35,1.45,1.56,1.7
325,York,County,VA,1.25,1.25,1.29,1.3,1.35,1.44
