ID,Longterm SID,POR Start,POR End,Lat,Lon,rp_b_2-yr,rp_b_5-yr,rp_b_10-yr,rp_b_25-yr,rp_b_50-yr,rp_b_100-yr,FID,key_ix
USC00369042,USC00369042 6,"1950","2020",41.9004,-79.861,2.04468636123444,2.67954311633533,3.11304210483917,3.67624282896519,4.10551553958092,4.54152176078337,"2852",id59_184
USC00369298,USC00369298 6,"1893","2020",41.8467,-79.1494,2.11342133648277,2.76610401928537,3.26631678080496,3.98818010818511,4.59712663423469,5.27144781063898,"2859",id59_185
USC00364432,USC00364432 6,"1894","2020",41.6767,-78.8036,2.11281842314622,2.73424532200148,3.22729374742626,3.9617885060825,4.6005784090249,5.32662614574364,"2857",id59_186
USC00360868,USC00360868 6,"1934","2020",41.89801,-78.71431,2.14556764569529,2.74044144452519,3.14156368637162,3.65681124988296,4.04522624027534,4.4360545852642,"2857",id59_186
USW00004751,USW00004751 6,"1957","2020",41.8,-78.6333,0,0,0,0,0,0,"2857",id59_186
USC00363311,USC00363311 6,"1942","2020",41.56067,-78.59943,0,0,0,0,0,0,"2857",id59_186
USC00367103,USC00367103 6,"1948","2020",41.81568,-78.28734,0,0,0,0,0,0,"2911",id59_187
USC00363130,USC00363130 6,"1931","2020",41.7356,-77.6516,2.03486080099291,2.67937508748602,3.1763365426918,3.89750721073923,4.50912917466562,5.18951132952656,"2909",id59_188
USC00361832,USC00361832 6,"1938","2020",41.7375,-77.1158,1.950861468878,2.58661608421613,3.03602547643751,3.63851003437776,4.11189819335585,4.60530279226091,"2915",id59_189
USC00369408,USC00369408 6,"1926","2020",41.7004,-77.3871,0,0,0,0,0,0,"2915",id59_189
USC00362323,USC00362323 6,"1948","2020",41.5216,-76.4043,0,0,0,0,0,0,"2903",id59_191
USC00368905,USC00368905 6,"1894","2020",41.7511,-76.443,1.85861020570237,2.40877874054359,2.79665848915655,3.31540590291274,3.72205190643794,4.14505355045024,"2903",id59_191
USC00368692,USC00368692 6,"1935","2020",41.9478,-75.6047,1.91846201061657,2.51902970629506,3.03452395532315,3.86025372832265,4.6299546822086,5.55834094799858,"2901",id59_192
USC00367186,USC00367186 6,"1968","2020",41.589,-75.3303,0,0,0,0,0,0,"2907",id59_193
USC00365738,USC00365738 6,"1945","2020",41.6725,-75.0641,0,0,0,0,0,0,"2907",id59_193
USC00367029,USC00367029 6,"1924","2020",41.7394,-75.4465,2.35015946060964,2.99650446707503,3.42166843055735,3.95572597283954,4.34966915271411,4.73881734250358,"2907",id59_193
USC00362669,USC00362669 6,"1945","2015",41.87222,-75.26556,2.2714592428526,3.13212919694445,3.88637414374556,5.11801844479708,6.28731675817206,7.72004105619132,"2907",id59_193
USC00307205,USC00307205 6,"1956","2020",41.5916,-74.6143,0,0,0,0,0,0,"2905",id59_194
USC00304731,USC00304731 6,"1898","2020",41.8017,-74.74,2.55487021771406,3.27114902845992,3.73670815549079,4.31523625128383,4.73752854479587,5.15098468742892,"2905",id59_194
USC00301521,USC00301521 6,"1945","2016",41.91355,-74.57232,0,0,0,0,0,0,"2905",id59_194
USC00305426,USC00305426 6,"1896","2020",41.7681,-74.155,2.80996386627795,3.68680266457959,4.32533922018349,5.20482722708862,5.91415172118037,6.67009729298119,"2895",id59_195
USC00307274,USC00307274 6,"1956","2019",41.84807,-74.04726,0,0,0,0,0,0,"2895",id59_195
USW00014757,USW00014757 6,"1948","2020",41.62574,-73.88156,0,0,0,0,0,0,"2893",id59_196
USW00014860,USW00014860 6,"1926","2020",42.0803,-80.1824,2.05045965367253,2.77881370003877,3.33990286788873,4.15344512031354,4.84284692821987,5.60922130762725,"2555",id60_183
USW00014747,USW00014747 6,"1945","2020",42.49333,-79.27222,0,0,0,0,0,0,"2543",id60_185
