,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
117,Grant,County,WV,1.31,1.31,1.41,1.5,1.56,2.23
118,Grayson,County,VA,1.21,1.26,1.31,1.38,1.46,1.72
119,Greenbrier,County,WV,1.24,1.35,1.45,1.8,2.18,3.22
120,Greene,County,NY,1.17,1.22,1.39,1.76,2.07,3.29
121,Greene,County,PA,1.34,1.4,1.39,1.54,1.69,2.62
122,Greene,County,VA,1.17,1.18,1.21,1.38,1.57,2.02
123,Greensville,County,VA,1.24,1.24,1.26,1.43,1.56,2.87
124,Halifax,County,VA,1.26,1.27,1.36,1.53,1.75,2.41
125,Hampshire,County,WV,1.35,1.36,1.35,1.45,1.73,2.89
126,Hampton,City,VA,1.15,1.22,1.35,1.56,1.77,2.49
127,Hancock,County,WV,1.24,1.29,1.35,1.51,1.85,2.06
128,Hanover,County,VA,1.28,1.35,1.45,1.62,1.72,2.05
129,Hardy,County,WV,1.29,1.29,1.3,1.4,1.53,2.13
130,Harford,County,MD,1.28,1.34,1.36,1.41,1.44,2.88
131,Harrison,County,WV,1.35,1.37,1.44,1.5,1.59,2.3
132,Harrisonburg,City,VA,1.2,1.26,1.31,1.41,1.47,2.2
133,Henrico,County,VA,1.26,1.32,1.39,1.56,1.65,2.4
134,Henry,County,VA,1.22,1.28,1.33,1.53,1.93,2.52
135,Herkimer,County,NY,1.14,1.18,1.26,1.41,1.68,1.9
136,Highland,County,VA,1.26,1.35,1.47,1.7,1.98,2.22
137,Hopewell,City,VA,1.24,1.29,1.4,1.82,2.26,2.8
138,Howard,County,MD,1.28,1.39,1.44,1.51,1.6,2.36
139,Hunterdon,County,NJ,1.17,1.21,1.26,1.47,1.65,3.18
140,Huntingdon,County,PA,1.27,1.31,1.38,1.68,2.1,2.31
141,Indiana,County,PA,1.21,1.26,1.34,1.48,1.64,3.05
142,Isle of Wight,County,VA,1.21,1.25,1.31,1.46,1.76,2.11
143,Jackson,County,WV,1.3,1.31,1.35,1.35,1.35,2.37
144,James City,County,VA,1.23,1.27,1.3,1.37,1.47,2.17
145,Jefferson,County,PA,1.22,1.23,1.24,1.4,1.72,2.31
146,Jefferson,County,WV,1.27,1.27,1.28,1.35,1.49,2.38
147,Juniata,County,PA,1.24,1.38,1.61,2.14,2.82,2.6
148,Kanawha,County,WV,1.27,1.29,1.33,1.38,1.44,1.74
149,Kent,County,DE,1.24,1.23,1.23,1.25,1.27,1.84
150,Kent,County,MD,1.31,1.34,1.37,1.39,1.37,2.35
151,King George,County,VA,1.46,1.6,1.66,1.7,2.17,1.91
152,King William,County,VA,1.28,1.32,1.34,1.37,1.62,2.52
153,King and Queen,County,VA,1.28,1.33,1.35,1.42,1.7,2.42
154,Lackawanna,County,PA,1.21,1.23,1.25,1.36,1.47,2.17
155,Lancaster,County,PA,1.23,1.27,1.33,1.47,1.61,2.22
156,Lancaster,County,VA,1.23,1.34,1.46,1.57,1.67,2.42
157,Lawrence,County,PA,1.27,1.3,1.36,1.41,1.6,3.62
158,Lebanon,County,PA,1.26,1.3,1.35,1.62,1.93,3.01
159,Lee,County,VA,1.27,1.27,1.28,1.36,1.6,2.55
160,Lehigh,County,PA,1.2,1.22,1.26,1.47,1.73,2.16
161,Lewis,County,WV,1.29,1.37,1.45,1.56,1.69,2.17
162,Lexington,City,VA,1.26,1.32,1.35,1.53,1.91,2.35
163,Lincoln,County,WV,1.32,1.29,1.29,1.35,1.59,1.59
164,Livingston,County,NY,1.3,1.33,1.31,1.56,1.93,2.47
165,Logan,County,WV,1.27,1.36,1.41,1.45,1.61,2.4
166,Loudoun,County,VA,1.25,1.26,1.26,1.36,1.48,2.35
167,Louisa,County,VA,1.24,1.33,1.41,1.56,1.62,2.2
168,Lunenburg,County,VA,1.25,1.3,1.35,1.5,1.7,2.2
169,Luzerne,County,PA,1.19,1.22,1.34,1.73,2.06,2.09
170,Lycoming,County,PA,1.24,1.29,1.38,1.57,1.78,2.9
171,Lynchburg,City,VA,1.28,1.36,1.42,1.55,1.8,6.44
172,Madison,County,NY,1.18,1.19,1.19,1.24,1.38,1.95
173,Madison,County,VA,1.18,1.19,1.21,1.35,1.56,2.66
174,Manassas,City,VA,1.3,1.27,1.32,1.51,1.71,2.9
175,Manassas Park,City,VA,1.33,1.3,1.39,1.59,1.82,3.15
176,Marion,County,WV,1.34,1.38,1.41,1.54,1.64,2.33
177,Marshall,County,WV,1.3,1.27,1.31,1.43,1.6,2.4
178,Martinsville,City,VA,1.24,1.31,1.36,1.55,2.0,2.58
179,Mason,County,WV,1.29,1.31,1.35,1.49,1.67,2.01
180,Mathews,County,VA,1.15,1.22,1.37,1.58,1.77,3.06
181,McDowell,County,WV,1.19,1.33,1.43,1.59,1.83,2.07
182,McKean,County,PA,1.28,1.29,1.3,1.29,1.49,2.27
183,Mecklenburg,County,VA,1.24,1.28,1.4,1.61,1.8,1.96
184,Mercer,County,NJ,1.21,1.19,1.22,1.56,2.14,2.9
185,Mercer,County,PA,1.26,1.35,1.38,1.49,2.04,1.97
186,Mercer,County,WV,1.19,1.25,1.37,1.67,2.06,2.28
187,Middlesex,County,VA,1.26,1.36,1.42,1.47,1.7,2.76
188,Mifflin,County,PA,1.28,1.32,1.46,1.75,2.15,2.19
189,Mineral,County,WV,1.37,1.37,1.34,1.44,1.64,2.74
190,Mingo,County,WV,1.28,1.33,1.34,1.42,1.62,2.06
191,Monmouth,County,NJ,1.26,1.29,1.32,1.58,1.83,2.63
192,Monongalia,County,WV,1.35,1.39,1.4,1.54,1.65,2.18
193,Monroe,County,PA,1.19,1.21,1.25,1.37,1.44,1.93
194,Monroe,County,WV,1.22,1.31,1.44,1.81,2.23,3.21
195,Montgomery,County,MD,1.27,1.34,1.38,1.46,1.63,2.96
196,Montgomery,County,NY,1.18,1.24,1.33,1.65,2.01,3.23
197,Montgomery,County,PA,1.22,1.24,1.26,1.23,1.24,2.23
198,Montgomery,County,VA,1.27,1.38,1.47,1.94,2.36,2.27
199,Montour,County,PA,1.24,1.33,1.45,1.73,2.12,3.28
200,Morgan,County,WV,1.33,1.43,1.5,1.73,2.01,3.66
201,Morris,County,NJ,1.2,1.23,1.27,1.49,1.65,2.47
202,Nassau,County,NY,1.25,1.3,1.35,1.65,2.08,2.84
203,Nelson,County,VA,1.23,1.34,1.43,1.67,1.95,2.41
204,New Castle,County,DE,1.22,1.26,1.28,1.31,1.34,1.74
205,New Kent,County,VA,1.25,1.27,1.28,1.42,1.68,2.5
206,New York,County,NY,1.27,1.25,1.31,1.64,1.93,1.97
207,Newport News,City,VA,1.18,1.23,1.26,1.32,1.39,2.29
208,Nicholas,County,WV,1.29,1.33,1.4,1.51,1.61,2.33
209,Norfolk,City,VA,1.24,1.31,1.41,1.52,1.68,2.91
210,Northampton,County,PA,1.19,1.18,1.24,1.43,1.72,2.32
211,Northampton,County,VA,1.21,1.21,1.22,1.24,1.26,2.02
212,Northumberland,County,PA,1.26,1.32,1.44,1.67,1.88,4.57
213,Northumberland,County,VA,1.23,1.34,1.48,1.63,1.71,2.08
214,Norton,City,VA,1.3,1.29,1.35,1.54,1.7,2.33
215,Nottoway,County,VA,1.26,1.31,1.38,1.55,1.82,2.47
216,Ocean,County,NJ,1.21,1.23,1.25,1.35,1.42,1.52
217,Ohio,County,WV,1.27,1.31,1.31,1.49,1.89,3.0
218,Oneida,County,NY,1.18,1.22,1.27,1.35,1.44,2.04
219,Onondaga,County,NY,1.17,1.18,1.19,1.4,1.72,1.99
220,Ontario,County,NY,1.19,1.19,1.21,1.29,1.56,1.98
221,Orange,County,NY,1.17,1.24,1.29,1.52,1.96,2.7
222,Orange,County,VA,1.23,1.29,1.28,1.4,1.53,2.08
223,Otsego,County,NY,1.21,1.24,1.3,1.39,1.5,2.34
224,Page,County,VA,1.21,1.2,1.25,1.37,1.45,5.22
225,Patrick,County,VA,1.22,1.29,1.43,1.66,2.01,2.49
226,Pendleton,County,WV,1.25,1.41,1.57,1.8,1.93,2.38
227,Perry,County,PA,1.26,1.41,1.58,1.85,2.27,2.61
228,Petersburg,City,VA,1.24,1.29,1.4,1.82,2.26,2.8
229,Philadelphia,County,PA,1.21,1.24,1.26,1.25,1.31,2.25
230,Pike,County,PA,1.21,1.23,1.24,1.26,1.36,2.82
231,Pittsylvania,County,VA,1.26,1.27,1.31,1.45,1.68,2.64
232,Pleasants,County,WV,1.36,1.41,1.44,1.47,1.52,2.17
233,Pocahontas,County,WV,1.24,1.35,1.48,1.85,2.26,2.88
234,Poquoson,City,VA,1.16,1.22,1.35,1.56,1.78,2.17
235,Portsmouth,City,VA,1.24,1.31,1.41,1.52,1.68,2.09
236,Potter,County,PA,1.32,1.32,1.32,1.38,1.76,2.25
237,Powhatan,County,VA,1.26,1.36,1.49,1.7,1.82,2.46
238,Preston,County,WV,1.3,1.35,1.4,1.51,1.61,2.5
239,Prince Edward,County,VA,1.22,1.29,1.37,1.59,1.82,2.12
240,Prince George,County,VA,1.24,1.29,1.4,1.81,2.25,2.78
241,Prince George's,County,MD,1.36,1.55,1.74,2.04,2.1,2.48
242,Prince William,County,VA,1.26,1.24,1.25,1.42,1.6,2.73
243,Pulaski,County,VA,1.23,1.33,1.39,1.65,2.07,2.48
244,Putnam,County,WV,1.29,1.3,1.32,1.33,1.35,2.08
245,Queen Anne's,County,MD,1.29,1.4,1.45,1.48,1.53,2.23
246,Radford,City,VA,1.23,1.34,1.39,1.64,2.05,2.79
247,Raleigh,County,WV,1.24,1.31,1.4,1.69,2.03,2.35
248,Randolph,County,WV,1.26,1.41,1.57,1.88,2.27,2.81
249,Rappahannock,County,VA,1.22,1.21,1.24,1.46,1.66,2.82
250,Richmond,County,NY,1.27,1.25,1.31,1.64,1.94,3.14
251,Richmond,County,VA,1.3,1.4,1.44,1.47,1.66,2.1
252,Richmond,City,VA,1.27,1.32,1.37,1.51,1.6,2.88
253,Ritchie,County,WV,1.37,1.4,1.41,1.42,1.51,2.11
254,Roane,County,WV,1.3,1.37,1.47,1.67,1.85,1.97
255,Roanoke,County,VA,1.26,1.38,1.48,1.89,2.26,2.82
256,Roanoke,City,VA,1.28,1.35,1.48,1.88,2.52,3.97
257,Rockbridge,County,VA,1.27,1.35,1.42,1.6,1.83,1.84
258,Rockingham,County,VA,1.22,1.29,1.33,1.38,1.43,2.36
259,Russell,County,VA,1.25,1.3,1.36,1.6,1.86,1.76
260,Salem,County,NJ,1.19,1.28,1.36,1.44,1.43,2.1
261,Salem,City,VA,1.28,1.41,1.51,2.03,2.49,2.43
262,Schoharie,County,NY,1.17,1.23,1.34,1.64,1.99,2.97
263,Schuyler,County,NY,1.2,1.21,1.34,1.62,1.95,2.23
264,Schuylkill,County,PA,1.24,1.26,1.37,1.61,1.89,2.56
265,Scott,County,VA,1.27,1.31,1.37,1.59,1.84,2.03
266,Shenandoah,County,VA,1.23,1.23,1.25,1.31,1.37,2.51
267,Smyth,County,VA,1.21,1.24,1.27,1.32,1.36,1.94
268,Snyder,County,PA,1.28,1.36,1.54,1.99,2.55,2.82
269,Somerset,County,MD,1.19,1.27,1.35,1.58,1.89,2.58
270,Somerset,County,PA,1.34,1.37,1.37,1.38,1.44,2.38
271,Southampton,County,VA,1.23,1.26,1.37,1.68,2.1,2.33
272,Spotsylvania,County,VA,1.35,1.45,1.48,1.52,1.61,2.15
273,St. Mary's,County,MD,1.33,1.5,1.59,1.75,1.95,1.97
274,Stafford,County,VA,1.39,1.48,1.53,1.52,1.84,2.19
275,Staunton,City,VA,1.27,1.36,1.41,1.47,1.56,2.23
276,Steuben,County,NY,1.19,1.19,1.19,1.42,1.65,2.6
277,Suffolk,City,VA,1.22,1.27,1.34,1.5,1.81,2.07
278,Sullivan,County,NY,1.27,1.35,1.35,1.64,1.99,2.3
279,Sullivan,County,PA,1.23,1.31,1.46,1.78,2.21,3.38
280,Summers,County,WV,1.21,1.3,1.46,1.92,2.47,3.02
281,Surry,County,VA,1.23,1.25,1.29,1.42,1.61,2.7
282,Susquehanna,County,PA,1.27,1.3,1.34,1.49,1.64,2.35
283,Sussex,County,DE,1.18,1.27,1.38,1.58,1.79,2.56
284,Sussex,County,NJ,1.18,1.19,1.19,1.36,1.57,2.22
285,Sussex,County,VA,1.21,1.25,1.37,1.75,2.18,2.35
286,Talbot,County,MD,1.35,1.63,1.83,2.08,2.31,2.94
287,Taylor,County,WV,1.31,1.36,1.44,1.53,1.59,2.82
288,Tazewell,County,VA,1.19,1.3,1.42,1.62,1.89,2.26
289,Tioga,County,NY,1.23,1.25,1.36,1.59,2.12,2.57
290,Tioga,County,PA,1.34,1.39,1.42,1.43,1.6,2.01
291,Tompkins,County,NY,1.19,1.22,1.32,1.6,1.93,2.42
292,Tucker,County,WV,1.27,1.32,1.37,1.48,1.6,2.38
293,Tyler,County,WV,1.36,1.35,1.34,1.44,1.58,2.24
294,Ulster,County,NY,1.22,1.31,1.33,1.49,1.68,2.27
295,Union,County,PA,1.24,1.34,1.5,1.91,2.47,2.64
296,Upshur,County,WV,1.27,1.43,1.56,1.76,2.12,2.91
297,Venango,County,PA,1.33,1.37,1.34,1.36,1.47,2.68
298,Virginia Beach,City,VA,1.23,1.27,1.33,1.42,1.61,2.22
299,Warren,County,NJ,1.16,1.19,1.25,1.49,1.76,2.47
300,Warren,County,PA,1.3,1.34,1.41,1.76,2.2,2.39
301,Warren,County,VA,1.22,1.22,1.23,1.45,1.64,2.03
302,Washington,County,MD,1.33,1.41,1.51,1.69,1.94,2.92
303,Washington,County,PA,1.28,1.35,1.42,1.55,1.69,2.29
304,Washington,County,VA,1.2,1.28,1.31,1.46,1.7,1.89
305,Wayne,County,PA,1.28,1.34,1.43,1.58,1.71,2.17
306,Wayne,County,WV,1.3,1.28,1.27,1.35,1.55,2.62
307,Waynesboro,City,VA,1.2,1.26,1.31,1.41,1.47,2.16
308,Webster,County,WV,1.26,1.39,1.5,1.78,2.11,2.55
309,Westchester,County,NY,1.21,1.25,1.36,1.57,1.82,2.4
310,Westmoreland,County,PA,1.24,1.26,1.31,1.38,1.44,3.58
311,Westmoreland,County,VA,1.37,1.51,1.58,1.72,1.93,1.85
312,Wetzel,County,WV,1.32,1.29,1.31,1.41,1.53,2.46
313,Wicomico,County,MD,1.2,1.26,1.35,1.56,1.84,2.37
314,Williamsburg,City,VA,1.23,1.27,1.3,1.37,1.47,2.49
315,Winchester,City,VA,1.33,1.34,1.35,1.45,1.56,2.42
316,Wirt,County,WV,1.31,1.33,1.36,1.41,1.48,1.89
317,Wise,County,VA,1.24,1.3,1.37,1.54,1.77,2.21
318,Wood,County,WV,1.28,1.3,1.32,1.41,1.6,2.35
319,Worcester,County,MD,1.24,1.3,1.42,1.63,1.89,2.82
320,Wyoming,County,PA,1.22,1.25,1.32,1.51,1.72,2.24
321,Wyoming,County,WV,1.23,1.34,1.42,1.56,1.77,2.05
322,Wythe,County,VA,1.2,1.25,1.31,1.41,1.52,1.99
323,Yates,County,NY,1.17,1.17,1.19,1.33,1.53,2.9
324,York,County,PA,1.27,1.31,1.37,1.53,1.79,3.15
325,York,County,VA,1.18,1.24,1.28,1.34,1.39,3.8
