,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
84,Delaware,County,PA,1.53,1.59,1.6,1.94,2.34,2.55
85,Dickenson,County,VA,1.21,1.33,1.55,1.86,2.22,4.48
86,Dinwiddie,County,VA,1.35,1.4,1.41,1.54,1.81,2.1
87,District of Columbia,County,DC,1.25,1.43,1.61,2.11,2.73,3.72
88,Doddridge,County,WV,1.31,1.29,1.36,1.5,1.72,3.24
89,Dorchester,County,MD,1.25,1.33,1.46,1.77,2.16,2.66
90,Elk,County,PA,1.28,1.35,1.43,1.68,1.97,2.21
91,Emporia,City,VA,1.27,1.31,1.39,1.79,2.33,3.23
92,Erie,County,PA,1.23,1.28,1.37,1.53,1.71,2.07
93,Essex,County,VA,1.27,1.32,1.51,1.87,2.24,2.86
94,Fairfax,County,VA,1.24,1.3,1.41,1.8,2.27,2.76
95,Fairfax,City,VA,1.24,1.31,1.49,1.81,2.13,2.71
96,Falls Church,City,VA,1.24,1.44,2.14,3.69,5.63,3.46
97,Fauquier,County,VA,1.37,1.44,1.64,2.0,2.32,2.81
98,Fayette,County,PA,1.27,1.28,1.37,1.66,2.07,2.38
99,Fayette,County,WV,1.29,1.3,1.4,1.61,1.84,2.07
100,Floyd,County,VA,1.4,1.4,1.41,1.71,2.23,3.23
101,Fluvanna,County,VA,1.39,1.6,1.91,2.55,3.13,3.58
102,Forest,County,PA,1.27,1.33,1.42,1.73,2.06,2.18
103,Franklin,County,PA,1.3,1.52,1.81,2.42,3.11,4.16
104,Franklin,County,VA,1.36,1.43,1.44,1.61,1.9,2.62
105,Franklin,City,VA,1.34,1.36,1.44,1.73,1.99,2.26
106,Frederick,County,MD,1.34,1.57,1.85,2.37,2.86,3.44
107,Frederick,County,VA,1.39,1.48,1.54,1.65,1.91,2.16
108,Fredericksburg,City,VA,1.31,1.44,1.59,2.16,2.84,3.17
109,Fulton,County,PA,1.33,1.53,1.7,1.99,2.47,3.3
110,Galax,City,VA,1.33,1.31,1.4,2.13,3.23,3.71
111,Garrett,County,MD,1.32,1.35,1.61,2.17,2.8,3.53
112,Giles,County,VA,1.33,1.37,1.38,1.47,1.73,1.95
113,Gilmer,County,WV,1.25,1.28,1.47,1.91,2.44,3.06
114,Gloucester,County,NJ,1.34,1.35,1.42,1.86,2.52,2.0
115,Gloucester,County,VA,1.24,1.28,1.49,1.89,2.31,2.66
116,Goochland,County,VA,1.32,1.47,1.71,2.09,2.44,3.36
117,Grant,County,WV,1.26,1.4,1.61,2.04,2.52,3.04
118,Grayson,County,VA,1.34,1.41,1.4,1.61,2.04,2.03
119,Greenbrier,County,WV,1.25,1.3,1.36,1.58,1.82,2.19
120,Greene,County,NY,1.37,1.43,1.45,1.7,2.0,2.27
121,Greene,County,PA,1.31,1.3,1.47,1.9,2.43,2.99
122,Greene,County,VA,1.37,1.55,1.65,1.85,2.06,3.09
123,Greensville,County,VA,1.26,1.28,1.42,1.8,2.22,2.64
124,Halifax,County,VA,1.26,1.35,1.42,1.53,1.7,2.0
125,Hampshire,County,WV,1.34,1.59,1.81,2.19,2.65,3.36
126,Hampton,City,VA,1.28,1.32,1.49,1.78,2.11,2.07
127,Hancock,County,WV,1.31,1.37,1.38,1.47,1.71,2.13
128,Hanover,County,VA,1.24,1.29,1.41,1.66,1.93,2.49
129,Hardy,County,WV,1.32,1.53,1.72,1.99,2.24,2.39
130,Harford,County,MD,1.28,1.4,1.52,1.84,2.42,3.0
131,Harrison,County,WV,1.33,1.34,1.34,1.39,1.55,1.86
132,Harrisonburg,City,VA,1.28,1.47,1.62,1.79,2.38,3.13
133,Henrico,County,VA,1.21,1.27,1.39,1.56,1.79,2.34
134,Henry,County,VA,1.33,1.42,1.49,1.76,2.21,3.11
135,Herkimer,County,NY,1.21,1.22,1.25,1.34,1.53,1.76
136,Highland,County,VA,1.27,1.35,1.48,1.87,2.31,2.86
137,Hopewell,City,VA,1.33,1.53,1.62,1.76,2.07,2.62
138,Howard,County,MD,1.26,1.38,1.59,2.1,2.6,3.03
139,Hunterdon,County,NJ,1.35,1.4,1.42,1.6,1.87,6.62
140,Huntingdon,County,PA,1.25,1.46,1.76,2.43,3.16,3.68
141,Indiana,County,PA,1.23,1.34,1.44,1.66,2.05,3.26
142,Isle of Wight,County,VA,1.27,1.29,1.38,1.54,1.72,1.94
143,Jackson,County,WV,1.21,1.27,1.5,2.13,2.91,2.18
144,James City,County,VA,1.27,1.34,1.61,2.14,2.73,3.57
145,Jefferson,County,PA,1.24,1.3,1.36,1.65,1.95,2.6
146,Jefferson,County,WV,1.32,1.45,1.61,1.95,2.3,2.51
147,Juniata,County,PA,1.34,1.53,1.72,2.08,2.46,3.12
148,Kanawha,County,WV,1.21,1.19,1.21,1.43,1.7,2.06
149,Kent,County,DE,1.25,1.38,1.48,1.68,2.07,2.44
